timestamp,P2,P1,humidity,temperature
2018-09-01 03:00:00+03:00,6.736830601092896,15.304043715846994,52.32295081967213,20.701092896174863
2018-09-01 04:00:00+03:00,7.153505154639175,19.097731958762886,62.108247422680414,16.544329896907215
2018-09-01 05:00:00+03:00,2.234404761904762,6.955952380952381,66.46626506024096,15.503614457831326
2018-09-01 06:00:00+03:00,2.3600000000000003,5.995357142857143,69.57411764705883,14.616470588235295
2018-09-01 07:00:00+03:00,3.3802702702702705,8.198783783783785,52.87027027027027,21.14189189189189
2018-09-01 08:00:00+03:00,4.278333333333333,9.754999999999999,45.1702380952381,22.073809523809523
2018-09-01 09:00:00+03:00,2.8983333333333334,8.979880952380952,40.82588235294117,23.023529411764706
2018-09-01 10:00:00+03:00,4.077570093457944,11.569345794392524,54.66509433962264,19.032075471698114
2018-09-01 11:00:00+03:00,2.0042105263157897,5.160736842105263,71.71489361702127,16.8031914893617
2018-09-01 12:00:00+03:00,1.9902325581395348,3.89,74.68023255813954,16.648837209302325
2018-09-01 13:00:00+03:00,2.907368421052632,5.791973684210526,65.61333333333333,19.244
2018-09-01 14:00:00+03:00,5.042168674698795,10.398313253012049,55.00120481927711,22.43855421686747
2018-09-01 15:00:00+03:00,5.921546391752577,13.636701030927835,44.90824742268042,23.87216494845361
2018-09-01 16:00:00+03:00,7.15,18.777142857142856,51.26829268292683,21.10731707317073
2018-09-01 17:00:00+03:00,10.726071428571428,26.762857142857143,53.81428571428571,19.97142857142857
2018-09-01 18:00:00+03:00,8.962558139534883,22.12093023255814,57.188372093023254,18.513953488372092
2018-09-01 19:00:00+03:00,3.5821875,8.29859375,64.134375,17.5328125
2018-09-01 20:00:00+03:00,2.52296875,6.0753125,70.1875,16.8515625
2018-09-01 21:00:00+03:00,3.4603125,8.63546875,71.790625,17.090625
2018-09-01 22:00:00+03:00,7.59,16.13015625,77.675,16.75625
2018-09-01 23:00:00+03:00,8.884461538461538,17.93846153846154,50.0375,22.3015625
2018-09-02 00:00:00+03:00,5.252769230769231,13.032769230769231,50.449230769230766,20.48153846153846
2018-09-02 01:00:00+03:00,4.95234375,13.893593749999999,57.3,17.665625
2018-09-02 02:00:00+03:00,2.99515625,8.17390625,67.6859375,16.0765625
2018-09-02 03:00:00+03:00,3.680793650793651,9.404761904761905,74.81774193548387,15.64516129032258
2018-09-02 04:00:00+03:00,4.111,9.684,79.27333333333333,14.803333333333335
2018-09-02 05:00:00+03:00,6.730666666666666,13.778333333333334,77.69,15.021666666666667
2018-09-02 06:00:00+03:00,13.456833333333332,23.141333333333332,62.656666666666666,18.808333333333334
2018-09-02 07:00:00+03:00,12.614333333333333,22.111,49.07333333333334,21.421666666666667
2018-09-02 08:00:00+03:00,5.772,15.061,44.89333333333333,20.551666666666666
2018-09-02 09:00:00+03:00,10.077166666666667,24.368166666666664,53.43666666666666,17.490000000000002
2018-09-02 10:00:00+03:00,4.871525423728814,11.126271186440679,56.48103448275862,17.103448275862068
2018-09-02 11:00:00+03:00,3.4745454545454546,7.956181818181819,63.94166666666667,15.973333333333333
2018-09-02 12:00:00+03:00,4.630793650793651,10.073650793650794,75.8578125,14.8234375
2018-09-02 13:00:00+03:00,5.688072289156627,12.017710843373495,69.5716049382716,17.107407407407408
2018-09-02 14:00:00+03:00,12.539047619047619,22.32297619047619,54.767857142857146,20.758333333333333
2018-09-02 15:00:00+03:00,7.894268292682927,16.04780487804878,58.576829268292684,20.55609756097561
2018-09-02 16:00:00+03:00,9.858313253012048,18.995301204819278,48.6566265060241,23.38313253012048
2018-09-02 17:00:00+03:00,4.515753424657534,13.665753424657535,47.556164383561644,22.164383561643834
2018-09-02 18:00:00+03:00,11.516470588235295,27.38392156862745,57.80196078431373,19.15294117647059
2018-09-02 19:00:00+03:00,5.559268292682927,15.477804878048781,61.4952380952381,18.32857142857143
2018-09-02 20:00:00+03:00,2.2946666666666666,6.357333333333333,68.88793103448276,17.118965517241378
2018-09-02 21:00:00+03:00,3.2748333333333335,7.046166666666666,75.05666666666666,16.511666666666667
2018-09-02 22:00:00+03:00,5.040666666666667,9.312000000000001,78.89166666666667,15.828333333333335
2018-09-02 23:00:00+03:00,7.6375,14.878833333333334,71.04666666666667,17.65
2018-09-03 00:00:00+03:00,11.416666666666666,22.816,66.14833333333334,18.998333333333335
2018-09-03 01:00:00+03:00,9.907333333333334,19.770166666666668,49.93728813559322,22.44237288135593
2018-09-03 02:00:00+03:00,4.718305084745762,12.67135593220339,40.89491525423729,23.06779661016949
2018-09-03 03:00:00+03:00,6.442166666666666,16.28216666666667,43.455000000000005,20.63
2018-09-03 04:00:00+03:00,7.6578333333333335,20.319833333333335,54.965,18.013333333333332
2018-09-03 05:00:00+03:00,3.870833333333333,8.821166666666667,60.513333333333335,17.303333333333335
2018-09-03 06:00:00+03:00,3.6935593220338983,7.924067796610169,62.68135593220339,16.73728813559322
2018-09-03 07:00:00+03:00,4.086166666666667,7.879166666666666,65.76666666666667,15.901666666666667
2018-09-03 08:00:00+03:00,4.6425,8.844833333333334,60.155,18.258333333333333
2018-09-03 09:00:00+03:00,6.622333333333333,12.95,53.388333333333335,21.098333333333336
2018-09-03 10:00:00+03:00,6.677272727272728,12.651454545454547,38.91428571428571,22.575
2018-09-03 11:00:00+03:00,6.5405263157894735,14.051578947368421,32.455263157894734,24.281578947368423
2018-09-03 12:00:00+03:00,4.66975,9.9635,30.29,24.1875
2018-09-03 13:00:00+03:00,5.070666666666667,12.374500000000001,35.461666666666666,22.025
